"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 15, 2021","58,700.0","58,000.0","59,000.0","58,000.0","99.40K","1.21%"
"Oct 14, 2021","58,000.0","57,200.0","58,500.0","57,000.0","51.60K","0.87%"
"Oct 13, 2021","57,500.0","57,200.0","57,500.0","57,000.0","41.30K","0.52%"
"Oct 12, 2021","57,200.0","56,500.0","57,200.0","55,800.0","83.90K","1.24%"
"Oct 11, 2021","56,500.0","57,600.0","58,300.0","56,300.0","110.90K","-2.08%"
"Oct 08, 2021","57,700.0","57,600.0","58,800.0","57,500.0","43.10K","-0.69%"
"Oct 07, 2021","58,100.0","58,500.0","58,500.0","58,000.0","66.00K","-1.53%"
"Oct 06, 2021","59,000.0","60,000.0","60,400.0","58,300.0","61.90K","-0.84%"
"Oct 05, 2021","59,500.0","56,800.0","60,600.0","56,800.0","117.10K","2.59%"
"Oct 04, 2021","58,000.0","58,900.0","58,900.0","57,600.0","24.10K","0.00%"
"Oct 01, 2021","58,000.0","56,500.0","58,800.0","56,400.0","155.80K","1.75%"
"Sep 30, 2021","57,000.0","55,000.0","58,000.0","54,900.0","43.60K","4.20%"
"Sep 29, 2021","54,700.0","54,700.0","54,900.0","54,500.0","30.00K","-0.55%"
"Sep 28, 2021","55,000.0","55,000.0","55,000.0","54,400.0","58.70K","0.00%"
"Sep 27, 2021","55,000.0","55,800.0","56,400.0","55,000.0","48.30K","-2.14%"
"Sep 24, 2021","56,200.0","56,400.0","56,400.0","55,600.0","26.30K","-0.53%"
"Sep 23, 2021","56,500.0","55,600.0","56,800.0","55,500.0","51.20K","1.80%"
"Sep 22, 2021","55,500.0","55,700.0","56,000.0","55,000.0","47.50K","-0.18%"
"Sep 21, 2021","55,600.0","56,000.0","56,900.0","55,000.0","73.20K","-2.46%"
"Sep 20, 2021","57,000.0","58,200.0","58,200.0","57,000.0","41.30K","-2.06%"
"Sep 17, 2021","58,200.0","57,100.0","58,600.0","56,800.0","54.40K","1.39%"
"Sep 16, 2021","57,400.0","57,500.0","57,700.0","57,000.0","54.70K","-3.20%"
"Sep 15, 2021","59,300.0","59,100.0","59,400.0","57,500.0","91.60K","0.00%"
"Sep 14, 2021","59,300.0","60,000.0","60,000.0","59,000.0","65.40K","-1.33%"
"Sep 13, 2021","60,100.0","60,500.0","60,500.0","59,800.0","81.70K","-0.66%"
"Sep 10, 2021","60,500.0","58,200.0","60,500.0","58,200.0","247.10K","3.77%"
"Sep 09, 2021","58,300.0","57,800.0","58,400.0","57,500.0","63.90K","0.87%"
"Sep 08, 2021","57,800.0","58,500.0","58,500.0","57,600.0","25.40K","-0.86%"
"Sep 07, 2021","58,300.0","57,900.0","58,800.0","57,500.0","106.50K","0.34%"
"Sep 06, 2021","58,100.0","58,800.0","58,800.0","57,600.0","77.10K","-1.19%"
"Sep 01, 2021","58,800.0","58,200.0","58,800.0","58,100.0","86.40K","1.03%"
"Aug 31, 2021","58,200.0","57,700.0","58,400.0","57,200.0","156.40K","1.39%"
"Aug 30, 2021","57,400.0","58,900.0","58,900.0","57,100.0","96.90K","3.42%"
"Aug 27, 2021","55,500.0","55,000.0","55,500.0","54,700.0","20.50K","0.91%"
"Aug 26, 2021","55,000.0","54,600.0","55,600.0","54,600.0","74.90K","0.73%"
"Aug 25, 2021","54,600.0","54,200.0","55,200.0","54,000.0","78.10K","0.74%"
"Aug 24, 2021","54,200.0","54,400.0","55,000.0","53,800.0","92.00K","-0.73%"
"Aug 23, 2021","54,600.0","56,000.0","56,500.0","54,500.0","113.70K","-2.50%"
"Aug 20, 2021","56,000.0","58,800.0","59,900.0","56,000.0","179.00K","-4.76%"
"Aug 19, 2021","58,800.0","58,000.0","59,000.0","57,800.0","83.50K","1.38%"
"Aug 18, 2021","58,000.0","57,500.0","58,500.0","57,100.0","65.50K","0.87%"
"Aug 17, 2021","57,500.0","58,000.0","58,200.0","57,400.0","87.30K","-0.86%"
"Aug 16, 2021","58,000.0","56,700.0","59,000.0","56,700.0","123.00K","2.29%"
"Aug 13, 2021","56,700.0","58,000.0","58,000.0","56,200.0","126.50K","-1.39%"
"Aug 12, 2021","57,500.0","57,700.0","58,500.0","57,200.0","83.60K","-1.71%"
"Aug 11, 2021","58,500.0","60,100.0","60,200.0","58,500.0","121.80K","-2.17%"
"Aug 10, 2021","59,800.0","56,600.0","60,000.0","56,600.0","298.20K","5.84%"
"Aug 09, 2021","56,500.0","55,800.0","56,500.0","54,200.0","163.50K","1.07%"
"Aug 06, 2021","55,900.0","56,800.0","56,800.0","55,800.0","124.00K","-1.58%"
"Aug 05, 2021","56,800.0","57,000.0","57,000.0","56,000.0","75.70K","-0.35%"
"Aug 04, 2021","57,000.0","58,200.0","58,200.0","56,800.0","56.30K","-1.72%"
"Aug 03, 2021","58,000.0","56,000.0","58,300.0","56,000.0","150.60K","4.32%"
"Aug 02, 2021","55,600.0","55,300.0","55,600.0","55,000.0","94.90K","0.54%"
"Jul 30, 2021","55,300.0","55,000.0","55,500.0","55,000.0","56.70K","0.18%"
"Jul 29, 2021","55,200.0","55,300.0","55,300.0","54,800.0","49.50K","-0.18%"
"Jul 28, 2021","55,300.0","54,500.0","55,300.0","54,100.0","78.00K","1.47%"
"Jul 27, 2021","54,500.0","54,400.0","54,900.0","54,000.0","46.40K","1.87%"
"Jul 26, 2021","53,500.0","53,000.0","54,500.0","52,800.0","87.50K","0.75%"
"Jul 23, 2021","53,100.0","54,200.0","54,400.0","53,000.0","86.10K","-2.39%"
"Jul 22, 2021","54,400.0","54,300.0","54,400.0","53,500.0","42.30K","0.18%"
"Jul 21, 2021","54,300.0","54,000.0","54,600.0","53,900.0","46.40K","0.74%"
"Jul 20, 2021","53,900.0","52,500.0","54,000.0","52,500.0","43.30K","2.28%"
"Jul 19, 2021","52,700.0","53,900.0","53,900.0","52,500.0","79.20K","-3.30%"
"Jul 16, 2021","54,500.0","55,300.0","55,300.0","54,500.0","54.10K","-1.27%"
"Jul 15, 2021","55,200.0","53,900.0","55,200.0","53,900.0","46.50K","1.10%"
"Jul 14, 2021","54,600.0","56,000.0","56,000.0","53,300.0","75.90K","-0.36%"
"Jul 13, 2021","54,800.0","53,900.0","56,000.0","53,900.0","61.30K","1.86%"
"Jul 12, 2021","53,800.0","57,000.0","57,000.0","53,700.0","146.70K","-6.76%"
"Jul 09, 2021","57,700.0","59,000.0","59,500.0","57,000.0","61.60K","-2.04%"
"Jul 08, 2021","58,900.0","57,100.0","59,500.0","57,000.0","130.90K","2.43%"
"Jul 07, 2021","57,500.0","58,100.0","58,600.0","55,500.0","95.10K","-1.03%"
"Jul 06, 2021","58,100.0","60,900.0","60,900.0","58,100.0","153.10K","-4.60%"
"Jul 05, 2021","60,900.0","60,300.0","62,000.0","59,400.0","130.70K","0.66%"
"Jul 02, 2021","60,500.0","61,100.0","61,100.0","59,700.0","90.80K","-0.98%"
"Jul 01, 2021","61,100.0","58,200.0","61,500.0","58,200.0","247.60K","4.98%"
"Jun 30, 2021","58,200.0","57,900.0","58,500.0","57,900.0","58.10K","0.69%"
"Jun 29, 2021","57,800.0","57,800.0","58,200.0","57,400.0","124.10K","0.00%"
"Jun 28, 2021","57,800.0","56,700.0","58,000.0","56,700.0","90.90K","2.12%"
