"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 08, 2021","15,500.0","16,000.0","16,000.0","15,350.0","917.60K","-2.21%"
"Oct 07, 2021","15,850.0","15,500.0","16,150.0","15,500.0","1.50M","3.59%"
"Oct 06, 2021","15,300.0","15,350.0","15,400.0","15,150.0","824.30K","0.00%"
"Oct 05, 2021","15,300.0","15,300.0","15,800.0","15,200.0","1.10M","0.00%"
"Oct 04, 2021","15,300.0","15,200.0","15,500.0","15,000.0","1.01M","0.00%"
"Oct 01, 2021","15,300.0","14,800.0","15,400.0","14,800.0","1.50M","4.79%"
"Sep 30, 2021","14,600.0","14,700.0","14,850.0","14,400.0","473.60K","0.00%"
"Sep 29, 2021","14,600.0","14,900.0","14,900.0","14,150.0","636.10K","0.00%"
"Sep 28, 2021","14,600.0","14,000.0","14,600.0","13,550.0","1.05M","3.18%"
"Sep 27, 2021","14,150.0","15,100.0","15,350.0","14,150.0","1.34M","-5.03%"
"Sep 24, 2021","14,900.0","15,100.0","15,500.0","14,600.0","1.18M","-3.25%"
"Sep 23, 2021","15,400.0","17,100.0","17,100.0","15,350.0","2.70M","-4.05%"
"Sep 22, 2021","16,050.0","15,300.0","16,050.0","15,300.0","1.96M","7.00%"
"Sep 21, 2021","15,000.0","14,300.0","15,000.0","14,000.0","1.20M","1.01%"
"Sep 20, 2021","14,850.0","15,450.0","15,450.0","14,700.0","1.77M","1.37%"
"Sep 17, 2021","14,650.0","14,250.0","14,800.0","14,000.0","2.08M","4.27%"
"Sep 16, 2021","14,050.0","14,100.0","14,550.0","13,950.0","889.30K","0.36%"
"Sep 15, 2021","14,000.0","13,750.0","14,250.0","13,750.0","896.10K","2.19%"
"Sep 14, 2021","13,700.0","13,600.0","13,900.0","13,300.0","1.22M","1.86%"
"Sep 13, 2021","13,450.0","13,800.0","13,850.0","13,450.0","1.35M","-3.93%"
"Sep 10, 2021","14,000.0","14,350.0","14,350.0","13,950.0","1.07M","-2.44%"
"Sep 09, 2021","14,350.0","13,600.0","14,350.0","13,600.0","923.60K","3.99%"
"Sep 08, 2021","13,800.0","13,850.0","14,100.0","13,300.0","1.14M","-0.36%"
"Sep 07, 2021","13,850.0","14,600.0","14,600.0","13,650.0","2.86M","-5.46%"
"Sep 06, 2021","14,650.0","14,500.0","15,100.0","14,500.0","1.27M","1.03%"
"Sep 01, 2021","14,500.0","14,300.0","14,850.0","14,100.0","1.81M","1.40%"
"Aug 31, 2021","14,300.0","13,550.0","14,450.0","13,500.0","3.25M","5.54%"
"Aug 30, 2021","13,550.0","14,000.0","14,000.0","13,550.0","1.53M","0.37%"
"Aug 27, 2021","13,500.0","13,250.0","13,850.0","12,750.0","1.34M","2.27%"
"Aug 26, 2021","13,200.0","12,550.0","13,200.0","12,550.0","1.84M","6.88%"
"Aug 25, 2021","12,350.0","12,200.0","12,600.0","11,950.0","1.48M","-1.98%"
"Aug 24, 2021","12,600.0","13,150.0","13,300.0","12,600.0","2.22M","-6.67%"
"Aug 23, 2021","13,500.0","13,250.0","13,700.0","13,200.0","1.98M","1.89%"
"Aug 20, 2021","13,250.0","13,400.0","13,900.0","12,850.0","3.88M","1.53%"
"Aug 19, 2021","13,050.0","12,100.0","13,050.0","12,100.0","2.56M","6.97%"
"Aug 18, 2021","12,200.0","12,150.0","12,450.0","12,100.0","1.13M","-0.41%"
"Aug 17, 2021","12,250.0","12,350.0","12,500.0","11,900.0","1.76M","1.24%"
"Aug 16, 2021","12,100.0","11,700.0","12,100.0","11,600.0","2.83M","6.61%"
"Aug 13, 2021","11,350.0","11,600.0","11,600.0","11,050.0","698.30K","-2.16%"
"Aug 12, 2021","11,600.0","11,850.0","11,850.0","11,450.0","2.41M","4.50%"
"Aug 11, 2021","11,100.0","11,100.0","11,100.0","11,000.0","729.20K","6.73%"
"Aug 10, 2021","10,400.0","10,600.0","10,600.0","10,350.0","529.40K","-0.95%"
"Aug 09, 2021","10,500.0","10,200.0","10,600.0","10,100.0","617.50K","2.94%"
"Aug 06, 2021","10,200.0","10,250.0","10,400.0","10,150.0","744.90K","2.00%"
"Aug 05, 2021","10,000.0","9,940.0","10,000.0","9,800.0","305.80K","0.00%"
"Aug 04, 2021","10,000.0","9,900.0","10,200.0","9,850.0","423.40K","0.00%"
"Aug 03, 2021","10,000.0","10,450.0","10,450.0","9,940.0","425.90K","-2.44%"
"Aug 02, 2021","10,250.0","9,460.0","10,250.0","9,410.0","1.07M","6.55%"
"Jul 30, 2021","9,620.0","9,490.0","9,700.0","9,450.0","318.70K","1.37%"
"Jul 29, 2021","9,490.0","9,450.0","9,650.0","9,450.0","244.80K","-0.32%"
"Jul 28, 2021","9,520.0","9,630.0","9,650.0","9,490.0","146.70K","-0.83%"
"Jul 27, 2021","9,600.0","9,690.0","9,790.0","9,500.0","349.80K","2.13%"
"Jul 26, 2021","9,400.0","9,250.0","9,510.0","9,200.0","322.50K","-1.05%"
"Jul 23, 2021","9,500.0","9,500.0","9,760.0","9,490.0","256.40K","-3.06%"
"Jul 22, 2021","9,800.0","9,390.0","9,900.0","9,250.0","303.70K","4.37%"
"Jul 21, 2021","9,390.0","9,500.0","9,500.0","9,100.0","161.80K","1.51%"
"Jul 20, 2021","9,250.0","8,910.0","9,250.0","8,810.0","255.80K","2.10%"
"Jul 19, 2021","9,060.0","9,260.0","9,670.0","9,060.0","542.70K","-6.98%"
"Jul 16, 2021","9,740.0","9,700.0","9,880.0","9,610.0","203.80K","-0.61%"
"Jul 15, 2021","9,800.0","9,500.0","9,800.0","9,400.0","211.10K","3.16%"
"Jul 14, 2021","9,500.0","9,970.0","9,970.0","9,200.0","253.30K","-2.96%"
"Jul 13, 2021","9,790.0","9,200.0","9,790.0","9,200.0","317.80K","6.64%"
"Jul 12, 2021","9,180.0","9,500.0","9,730.0","9,170.0","775.90K","-6.80%"
"Jul 09, 2021","9,850.0","10,200.0","10,200.0","9,850.0","480.20K","-3.43%"
"Jul 08, 2021","10,200.0","10,300.0","10,350.0","10,100.0","319.10K","-0.97%"
"Jul 07, 2021","10,300.0","10,400.0","10,600.0","10,000.0","569.10K","-3.29%"
"Jul 06, 2021","10,650.0","11,300.0","11,500.0","10,650.0","589.40K","-6.58%"
"Jul 05, 2021","11,400.0","11,600.0","11,600.0","11,150.0","462.90K","-2.15%"
"Jul 02, 2021","11,650.0","12,000.0","12,000.0","11,500.0","743.70K","0.00%"
"Jul 01, 2021","11,650.0","11,150.0","11,700.0","11,050.0","1.04M","4.48%"
"Jun 30, 2021","11,150.0","11,400.0","11,550.0","11,100.0","369.50K","-2.19%"
"Jun 29, 2021","11,400.0","11,500.0","11,800.0","11,400.0","488.40K","-1.72%"
"Jun 28, 2021","11,600.0","11,200.0","11,750.0","10,900.0","880.00K","3.11%"
"Jun 25, 2021","11,250.0","11,200.0","11,500.0","11,100.0","813.10K","0.00%"
"Jun 24, 2021","11,250.0","11,600.0","11,700.0","11,100.0","592.30K","-3.02%"
"Jun 23, 2021","11,600.0","11,900.0","12,400.0","11,500.0","980.40K","-5.69%"
"Jun 22, 2021","12,300.0","12,100.0","12,400.0","11,800.0","1.89M","1.23%"
"Jun 21, 2021","12,150.0","12,650.0","12,650.0","12,000.0","1.95M","-3.95%"
"Jun 18, 2021","12,650.0","12,600.0","12,650.0","12,500.0","1.43M","6.75%"
"Jun 17, 2021","11,850.0","11,500.0","11,850.0","11,400.0","1.76M","6.76%"
"Jun 16, 2021","11,100.0","10,800.0","11,100.0","10,800.0","1.29M","6.73%"
"Jun 15, 2021","10,400.0","10,500.0","10,500.0","10,250.0","372.00K","-0.48%"
"Jun 14, 2021","10,450.0","10,700.0","10,700.0","10,400.0","429.70K","-1.42%"
"Jun 11, 2021","10,600.0","10,600.0","10,700.0","10,400.0","1.02M","2.91%"
"Jun 10, 2021","10,300.0","10,100.0","10,300.0","9,900.0","548.20K","1.98%"
"Jun 09, 2021","10,100.0","10,150.0","10,250.0","9,820.0","413.40K","1.00%"
"Jun 08, 2021","10,000.0","10,100.0","10,400.0","10,000.0","1.00M","0.70%"
"Jun 07, 2021","9,930.0","10,200.0","10,200.0","9,800.0","420.90K","-2.65%"
"Jun 04, 2021","10,200.0","10,550.0","10,550.0","10,200.0","638.40K","-0.97%"
"Jun 03, 2021","10,300.0","9,800.0","10,300.0","9,710.0","834.10K","6.74%"
"Jun 02, 2021","9,650.0","9,480.0","9,700.0","9,420.0","386.90K","1.79%"
"Jun 01, 2021","9,480.0","9,600.0","9,790.0","9,400.0","460.60K","-1.25%"
"May 31, 2021","9,600.0","9,800.0","10,000.0","9,400.0","616.00K","-1.94%"
"May 28, 2021","9,790.0","9,500.0","9,990.0","9,500.0","411.20K","2.62%"
